id,mos_ref,section_no,section_title,element_no,element_title,objective
PIFR-048,11.1.1,11,CTA operations,,,"State airways clearance requirements for operating in all classes of airspace, including lead time required for flight plan submission, contents, 'clearance void time', and 'read back' requirement."
PIFR-049,11.1.2,11,CTA operations,,,"State airways clearance requirements for entering, operating in and departing CTA and CTR, including what details to provide to ATC, and what details to expect from ATC."
PIFR-050,11.1.3,11,CTA operations,,,State what is 'controlled area protection'.
PIFR-051,11.1.4,11,CTA operations,,,"State ATC requirements for a change of level in CTA, including in an emergency situation."
PIFR-052,11.1.5,11,CTA operations,,,State the procedures for the following components of a flight profile for day and night operations in CTA and CTR: (a) departure; (b) climb; (c) transition to cruise (levelling out); (d) cruise; (e) change of levels; (f) descent and visual approach.
PIFR-053,11.2.1,11,CTA operations,11.2,Separation standards,"State the provision of separation between IFR flights, and IFR and VFR flights in the various classes of CTA."
PIFR-054,11.2.2,11,CTA operations,11.2,Separation standards,"State the provision of separation between IFR flights, and IFR and VFR flights in Class D airspace."
PIFR-055,11.3.1,11,CTA operations,11.3,Radio procedures,Demonstrate knowledge of radio procedures in CTA and CTR.
PIFR-056,11.3.2,11,CTA operations,11.3,Radio procedures,Determine procedures for loss of radio communication in CTA and CTR.
PIFR-057,11.3.3,11,CTA operations,11.3,Radio procedures,Determine procedures for abnormal operations and/or emergencies in CTA and CTR.
PIFR-058,12.1.1,12,Radar services,,,State what radar services are provided by ATC.
PIFR-059,12.1.2,12,Radar services,,,"Demonstrate knowledge of radar vectoring procedures, including radio procedures and phraseologies."
PIFR-060,12.1.3,12,Radar services,,,State the permissible intervals between ATC transmissions during radar vectoring.
PIFR-061,12.1.4,12,Radar services,,,"Demonstrate knowledge of radar emergency procedures, including loss of radio communication, radar failure, transponder emergency codes, and aircraft emergencies."
